property_id,cluster,recommended_price,pricing_options,furnished_price,semi_furnished_price,unfurnished_price
74,1,17755.29,"[20418, 19530]",23166.0,16666.0,10000.0
68,1,17238.15,"[19823, 18961]",23166.0,16666.0,10000.0
34,1,17450.78,"[20068, 19195]",23166.0,16666.0,10000.0
51,1,16909.8,"[19446, 18600]",15833.0,15888.0,17166.0
96,2,20372.46,"[23428, 22409]",23166.0,16666.0,10000.0
52,1,17799.79,"[20469, 19579]",23166.0,16666.0,10000.0
67,0,28569.4,"[32854, 31426]",15833.0,15888.0,17166.0
63,1,17238.15,"[19823, 18961]",23166.0,16666.0,10000.0
6,1,18689.78,"[21493, 20558]",23166.0,16666.0,10000.0
86,1,16900.14,"[19435, 18590]",23166.0,16666.0,10000.0
39,0,30090.23,"[34603, 33099, 31594]",23166.0,16666.0,10000.0
101,2,19973.0,"[22968, 21970]",23166.0,16666.0,10000.0
36,1,17799.79,"[20469, 19579]",23166.0,16666.0,10000.0
31,1,16095.38,"[18509, 17704]",24433.0,19444.0,16366.0
102,4,9513.54,"[10940, 10464]",23166.0,16666.0,10000.0
60,1,18689.78,"[21493, 20558]",23166.0,16666.0,10000.0
14,0,27208.95,"[31290, 29929]",23166.0,16666.0,10000.0
22,1,17789.62,"[20458, 19568]",23166.0,16666.0,10000.0
59,0,28569.4,"[32854, 31426]",23166.0,16666.0,10000.0
13,0,30073.05,"[34584, 33080]",23166.0,16666.0,10000.0
16,1,16578.24,"[19064, 18236]",24433.0,19444.0,16366.0
62,1,16095.38,"[18509, 17704]",26000.0,18770.0,28333.0
98,2,18974.35,"[21820, 20871]",23166.0,16666.0,10000.0
73,4,8860.65,"[10189, 9746]",23166.0,16666.0,10000.0
103,4,8860.65,"[10189, 9746]",23166.0,16666.0,10000.0
11,0,30090.23,"[34603, 33099]",23166.0,16666.0,10000.0
44,0,30090.23,"[34603, 33099]",23166.0,16666.0,10000.0
99,4,9513.54,"[10940, 10464]",23166.0,16666.0,10000.0
43,0,29500.23,"[33925, 32450, 30975]",23166.0,16666.0,10000.0
32,1,17450.78,"[20068, 19195]",26000.0,18770.0,28333.0
53,1,17238.15,"[19823, 18961]",23166.0,16666.0,10000.0
100,4,9327.0,"[10726, 10259]",23166.0,16666.0,10000.0
38,1,16942.5,"[19483, 18636]",17500.0,21880.0,16500.0
15,0,31594.75,"[36333, 34754]",23166.0,16666.0,10000.0
12,1,16942.5,"[19483, 18636]",23166.0,16666.0,10000.0
48,1,17799.79,"[20469, 19579, 18689]",15833.0,15888.0,17166.0
57,0,29140.79,"[33511, 32054]",23166.0,16666.0,10000.0
61,1,17407.15,"[20018, 19147]",23166.0,16666.0,10000.0
77,4,9037.86,"[10393, 9941]",23166.0,16666.0,10000.0
94,2,20372.46,"[23428, 22409]",23166.0,16666.0,10000.0
30,0,30090.23,"[34603, 33099, 31594]",23166.0,16666.0,10000.0
21,0,30674.51,"[35275, 33741]",23166.0,16666.0,10000.0
49,0,30073.05,"[34584, 33080]",23166.0,16666.0,10000.0
3,1,18145.42,"[20867, 19959]",23166.0,16666.0,10000.0
20,1,17755.29,"[20418, 19530, 18643]",23166.0,16666.0,10000.0
37,0,29500.23,"[33925, 32450, 30975]",23166.0,16666.0,10000.0
33,1,16942.5,"[19483, 18636]",23166.0,16666.0,10000.0
76,1,16900.14,"[19435, 18590]",23166.0,16666.0,10000.0
104,2,18974.35,"[21820, 20871]",23166.0,16666.0,10000.0
5,1,17789.62,"[20458, 19568]",23166.0,16666.0,10000.0
55,1,17799.79,"[20469, 19579]",15833.0,15888.0,17166.0
58,3,20207.0,"[23238, 22227]",23166.0,16666.0,10000.0
