Locality,BHK,Average Price (INR),Furnishing
sector 31,1,16965,Semi-Furnished
sector 31,1,26500,Unfurnished
sector 31,1,21805,Furnished
sector 38,1,16965,Semi-Furnished
sector 38,1,26500,Unfurnished
sector 38,1,21805,Furnished
sector 39,1,16965,Semi-Furnished
sector 39,1,26500,Unfurnished
sector 39,1,21805,Furnished
sector 47,1,16965,Semi-Furnished
sector 47,1,26500,Unfurnished
sector 47,1,21805,Furnished
sector 48,1,16965,Semi-Furnished
sector 48,1,26500,Unfurnished
sector 48,1,21805,Furnished
sector 49,1,16965,Semi-Furnished
sector 49,1,26500,Unfurnished
sector 49,1,21805,Furnished
sector 51,1,16965,Semi-Furnished
sector 51,1,26500,Unfurnished
sector 51,1,21805,Furnished
sector 52,1,16965,Semi-Furnished
sector 52,1,26500,Unfurnished
sector 52,1,21805,Furnished
